  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  7.8800e-13           40.41205079      6135357.30384107       12051.68503248         -330.62329074        11721.06174174 
  7.9000e-13           40.40942788            0.00000000       12050.90282805         -329.05764437        11721.84518368 
  7.9200e-13           40.40739914      5056065.88531368       12050.29781833         -327.84644367        11722.45137465 
  7.9400e-13           40.40601008      5027869.86496086       12049.88357137         -327.01695441        11722.86661696 
  7.9600e-13           40.40530145            0.00000000       12049.67224463         -326.59365527        11723.07858936 
  7.9800e-13           40.40529661            0.00000000       12049.67080167         -326.59064111        11723.08016056 
  8.0000e-13           40.40600648            0.00000000       12049.88249893         -327.01456345        11722.86793548 
  8.0200e-13           40.40742323      9983262.66930019       12050.30500021         -327.86083302        11722.44416719 
  8.0400e-13           40.40951940      4977463.23253794       12050.93012078         -329.11309445        11721.81702632 
  8.0600e-13           40.41224497      4973097.03932120       12051.74294089         -330.74145542        11721.00148547 
  8.0800e-13           40.41553128            0.00000000       12052.72298527         -332.70486071        11720.01812457 
  8.1000e-13           40.41929313            0.00000000       12053.84484349         -334.95235546        11718.89248803 
  8.1200e-13           40.42343250            0.00000000       12055.07928744         -337.42534314        11717.65394430 
  8.1400e-13           40.42784222      4923735.56465305       12056.39435304         -340.05976677        11716.33458627 
  8.1600e-13           40.43240958            0.00000000       12057.75643137         -342.78830073        11714.96813064 
  8.1800e-13           40.43701905            0.00000000       12059.13106991         -345.54195409        11713.58911582 
  8.2000e-13           40.44155519            0.00000000       12060.48383766         -348.25179476        11712.23204290 
  8.2200e-13           40.44590462      5223077.35187576       12061.78092462         -350.85013871        11710.93078591 
  8.2400e-13           40.44997947            0.00000000       12062.99612516         -353.28450759        11709.71161757 
  8.2600e-13           40.45365500      4850169.87505916       12064.09224248         -355.48042711        11708.61181537 
  8.2800e-13           40.45683672            0.00000000       12065.04109521         -357.38143999        11707.65965521 
  8.3000e-13           40.45943972            0.00000000       12065.81736365         -358.93679953        11706.88056411 
  8.3200e-13           40.46139320            0.00000000       12066.39992884         -360.10415396        11706.29577488 
  8.3400e-13           40.46264268      4740619.37583084       12066.77254924         -360.85090941        11705.92163983 
  8.3600e-13           40.46308534      4789057.23442088       12066.90455947         -361.11572329        11705.78883617 
  8.3800e-13           40.46275756      4769792.69495985       12066.80681091         -360.92014447        11705.88666644 
  8.4000e-13           40.46166767            0.00000000       12066.48178342         -360.26909129        11706.21269212 
  8.4200e-13           40.45984566      4745412.34562509       12065.93842244         -359.18045023        11706.75797221 
  8.4400e-13           40.45735153      4750161.13895160       12065.19462210         -357.69004312        11707.50457898 
  8.4600e-13           40.45425864      4439273.99477830       12064.27225966         -355.84169531        11708.43056435 
  8.4800e-13           40.45066725            0.00000000       12063.20123696         -353.69531390        11709.50592307 
  8.5000e-13           40.44669226      4716993.29249649       12062.01581495         -351.31955258        11710.69626237 
  8.5200e-13           40.44246518      4699593.41627794       12060.75521579         -348.79301098        11711.96220481 
  8.5400e-13           40.43812778      4690043.80802098       12059.46171339         -346.20041160        11713.26130180 
  8.5600e-13           40.43382816            0.00000000       12058.17948270         -343.63029471        11714.54918799 
  8.5800e-13           40.42971417      9281767.23004297       12056.95260653         -341.17102746        11715.78157906 
  8.6000e-13           40.42593600            0.00000000       12055.82587997         -338.91240603        11716.91347395 
  8.6200e-13           40.42262246            0.00000000       12054.83771823         -336.93146107        11717.90625715 
  8.6400e-13           40.41989369            0.00000000       12054.02394256         -335.30001644        11718.72392612 
  8.6600e-13           40.41785061      4625932.93158626       12053.41465610         -334.07842508        11719.33623103 
  8.6800e-13           40.41657173            0.00000000       12053.03326778         -333.31360208        11719.71966570 
  8.7000e-13           40.41610943            0.00000000       12052.89540027         -333.03682965        11719.85857062 
  8.7200e-13           40.41649025            0.00000000       12053.00896856         -333.26391039        11719.74505817 
  8.7400e-13           40.41771511            0.00000000       12053.37424513         -333.99530211        11719.37894302 
  8.7600e-13           40.41976138      4571633.96368202       12053.98448443         -335.21737920        11718.76710523 
  8.7800e-13           40.42258645            0.00000000       12054.82697858         -336.90456146        11717.92241712 
  8.8000e-13           40.42613096      4544975.36514548       12055.88402134         -339.02126112        11716.86276022 
  8.8200e-13           40.43032452            0.00000000       12057.13462645         -341.52533636        11715.60929010 
  8.8400e-13           40.43508791            0.00000000       12058.55516564         -344.36937903        11714.18578661 
  8.8600e-13           40.44033875            0.00000000       12060.12106993         -347.50412309        11712.61694684 
  8.8800e-13           40.44599421            0.00000000       12061.80764110         -350.88006754        11710.92757356 
  8.9000e-13           40.45197382            0.00000000       12063.59088113         -354.44913153        11709.14174961 
  8.9200e-13           40.45820176      4489535.39261958       12065.44817953         -358.16602358        11707.28215595 
  8.9400e-13           40.46460903      4485224.10593663       12067.35895635         -361.98952264        11705.36943371 
  8.9600e-13           40.47113470            0.00000000       12069.30504178         -365.88323411        11703.42180767 
  8.9800e-13           40.47772742            0.00000000       12071.27112266         -369.81648277        11701.45463989 
  9.0000e-13           40.48434717      4441043.27981352       12073.24526354         -373.76535738        11699.47990617 
  9.0200e-13           40.49096841            0.00000000       12075.21985193         -377.71460591        11697.50524602 
  9.0400e-13           40.49757392      4432641.05810587       12077.18974703         -381.65393918        11695.53580785 
  9.0600e-13           40.50416189      8836981.00860987       12079.15441331         -385.58230377        11693.57210954 
  9.0800e-13           40.51074378      4398690.91601158       12081.11726291         -389.50657174        11691.61069117 
  9.1000e-13           40.51734349            0.00000000       12083.08543091         -393.44109336        11689.64433755 
  9.1200e-13           40.52399001      8771190.98309430       12085.06755634         -397.40325816        11687.66429818 
  9.1400e-13           40.53072263      4362147.08218450       12087.07535938         -401.41664418        11685.65871520 
  9.1600e-13           40.53758518      4372128.64369793       12089.12190777         -405.50754166        11683.61436611 
  9.1800e-13           40.54461492      4365686.74676110       12091.21831682         -409.69834090        11681.51997592 
  9.2000e-13           40.55184812            0.00000000       12093.37540212         -414.01082296        11679.36457916 
  9.2200e-13           40.55931214            0.00000000       12095.60132476         -418.46143558        11677.13988917 
  9.2400e-13           40.56702342            0.00000000       12097.90098366         -423.06006523        11674.84091842 
  9.2600e-13           40.57498486            0.00000000       12100.27524317         -427.80848376        11672.46675941 
  9.2800e-13           40.58318476            0.00000000       12102.72062003         -432.69971911        11670.02090093 
  9.3000e-13           40.59159703      8613148.88769837       12105.22932750         -437.71814621        11667.51118129 
  9.3200e-13           40.60018273      4296971.81005274       12107.78975405         -442.84045221        11664.94930184 
  9.3400e-13           40.60889178            0.00000000       12110.38696804         -448.03665714        11662.35031090 
  9.3600e-13           40.61766558            0.00000000       12113.00349227         -453.27167606        11659.73181621 
  9.3800e-13           40.62644121            0.00000000       12115.62056135         -458.50784634        11657.11271501 
  9.4000e-13           40.63515432            0.00000000       12118.21898376         -463.70666233        11654.51232143 
  9.4200e-13           40.64374221      4257290.28009090       12120.78006700         -468.83063344        11651.94943356 
  9.4400e-13           40.65214678      4221430.88447110       12123.28647765         -473.84500869        11649.44146896 
  9.4600e-13           40.66032109            0.00000000       12125.72422095         -478.72173762        11647.00248333 
  9.4800e-13           40.66821660     17603351.29144684       12128.07882196         -483.43183269        11644.64698927 
  9.5000e-13           40.67581722      4210334.32182411       12130.34547738         -487.96567064        11642.37980674 
  9.5200e-13           40.68308033      4212173.40505685       12132.51148510         -492.29785070        11640.21363440 
  9.5400e-13           40.68999073            0.00000000       12134.57230321         -496.41930914        11638.15299407 
  9.5600e-13           40.69654125            0.00000000       12136.52580035         -500.32581805        11636.19998229 
  9.5800e-13           40.70273398            0.00000000       12138.37259733         -504.01866619        11634.35393115 
  9.6000e-13           40.70857810            0.00000000       12140.11542968         -507.50338146        11632.61204822 
  9.6200e-13           40.71408843      4163234.04102684       12141.75872320         -510.78887923        11630.96984397 
  9.6400e-13           40.71928446            0.00000000       12143.30828112         -513.88683291        11629.42144821 
  9.6600e-13           40.72418691      4118490.20041091       12144.77029165         -516.80968526        11627.96060638 
  9.6800e-13           40.72881921            0.00000000       12146.15173597         -519.57145998        11626.58027598 
  9.7000e-13           40.73320112      4133025.26796880       12147.45851105         -522.18400330        11625.27450774 
  9.7200e-13           40.73735192            0.00000000       12148.69636136         -524.65884401        11624.03751735 
  9.7400e-13           40.74128719      4109885.67762983       12149.86993940         -527.00531229        11622.86462711 
  9.7600e-13           40.74501953      4105767.78053287       12150.98299705         -529.23092190        11621.75207516 
  9.7800e-13           40.74855639      4094621.34960251       12152.03776102         -531.34012199        11620.69763903 
  9.8000e-13           40.75190175      4084413.49416902       12153.03541205         -533.33525829        11619.70015376 
  9.8200e-13           40.75505575            0.00000000       12153.97599992         -535.21640665        11618.75959327 
  9.8400e-13           40.75801521      4044838.50072590       12154.85857048         -536.98163123        11617.87693924 
  9.8600e-13           40.76077584            0.00000000       12155.68184600         -538.62834907        11617.05349693 
  9.8800e-13           40.76332936      4040985.29825991       12156.44335601         -540.15159470        11616.29176131 
  9.9000e-13           40.76567097            0.00000000       12157.14167042         -541.54848832        11615.59318210 
  9.9200e-13           40.76778823            0.00000000       12157.77308136         -542.81159975        11614.96148161 
  9.9400e-13           40.76967195      8046377.92433052       12158.33484467         -543.93543077        11614.39941390 
  9.9600e-13           40.77131441      3967541.14774535       12158.82465830         -544.91537028        11613.90928802 
  9.9800e-13           40.77270949            0.00000000       12159.24069871         -545.74776502        11613.49293370 
  1.0000e-12           40.77384448      7179373.80626903       12159.57917493         -546.42502551        11613.15414942 
  1.0020e-12           40.77475560            0.00000000       12159.85089088         -546.96874832        11612.88214256 
  1.0040e-12           40.77539019            0.00000000       12160.04013724         -547.34750121        11612.69263603 
  1.0060e-12           40.77574264            0.00000000       12160.14524454         -547.55792706        11612.58731748 
  1.0080e-12           40.77580909      3961359.83279633       12160.16506286         -547.59770445        11612.56735841 
  1.0100e-12           40.77558886            0.00000000       12160.09938450         -547.46639425        11612.63299026 
  1.0120e-12           40.77508229            0.00000000       12159.94831482         -547.16418298        11612.78413184 
  1.0140e-12           40.77429402            0.00000000       12159.71323721         -546.69381455        11613.01942266 
  1.0160e-12           40.77323262            0.00000000       12159.39670803         -546.06038165        11613.33632638 
  1.0180e-12           40.77191106            0.00000000       12159.00259247         -545.27159897        11613.73099351 
  1.0200e-12           40.77034704      7837631.74568716       12158.53616814         -544.33801112        11614.19815702 
  1.0220e-12           40.76856530            0.00000000       12158.00481744         -543.27437794        11614.73043949 
  1.0240e-12           40.76659144            0.00000000       12157.41617442         -542.09596839        11615.32020603 
  1.0260e-12           40.76445810            0.00000000       12156.77996943         -540.82224963        11615.95771980 
  1.0280e-12           40.76220264            0.00000000       12156.10734494         -539.47551864        11616.63182630 
  1.0300e-12           40.75986679            0.00000000       12155.41074813         -538.08068746        11617.33006067 
  1.0320e-12           40.75749617            0.00000000       12154.70378069         -536.66498302        11618.03879767 
  1.0340e-12           40.75513960            0.00000000       12154.00100403         -535.25755808        11618.74344595 
  1.0360e-12           40.75284831            0.00000000       12153.31769637         -533.88900615        11619.42869022 
  1.0380e-12           40.75067495      3737320.87365157       12152.66955780         -532.59077209        11620.07878571 
  1.0400e-12           40.74859209            0.00000000       12152.04840631         -531.34661455        11620.70179176 
  1.0420e-12           40.74671524     10584374.92511328       12151.48869302         -530.22542947        11621.26326355 
  1.0440e-12           40.74383541      9825749.20613606       12150.62986771         -528.50643152        11622.12343619 
  1.0460e-12           40.74112714            0.00000000       12149.82220850         -526.88984669        11622.93236181 
  1.0480e-12           40.73859277            0.00000000       12149.06640810         -525.37709416        11623.68931394 
  1.0500e-12           40.73626951            0.00000000       12148.37356504         -523.99040048        11624.38316456 
  1.0520e-12           40.73419082            0.00000000       12147.75365739         -522.74974394        11625.00391346 
  1.0540e-12           40.73238579            0.00000000       12147.21536072         -521.67248885        11625.54287186 
  1.0560e-12           40.73087874            0.00000000       12146.76592920         -520.77314780        11625.99278139 
  1.0580e-12           40.72968905            0.00000000       12146.41114083         -520.06327349        11626.34786734 
  1.0600e-12           40.72883114            0.00000000       12146.15529540         -519.55145794        11626.60383745 
  1.0620e-12           40.72831457            0.00000000       12146.00124329         -519.24339433        11626.75784896 
  1.0640e-12           40.72814414            0.00000000       12145.95041592         -519.14194213        11626.80847379 
  1.0660e-12           40.72831989            0.00000000       12146.00282828         -519.24713558        11626.75569270 
  1.0680e-12           40.72883697      3640254.59256138       12146.15703160         -519.55609016        11626.60094145 
  1.0700e-12           40.72969239            0.00000000       12146.41213591         -520.06704615        11626.34508976 
  1.0720e-12           40.73086324            0.00000000       12146.76130605         -520.76635640        11625.99494965 
  1.0740e-12           40.73232733      3659850.38456824       12147.19792894         -521.64081426        11625.55711468 
  1.0760e-12           40.73406454      7433040.97000690       12147.71599795         -522.67841513        11625.03758283 
  1.0780e-12           40.73603113            0.00000000       12148.30247437         -523.85307313        11624.44940123 
  1.0800e-12           40.73818406      7399684.78340130       12148.94452215         -525.13908665        11623.80543551 
  1.0820e-12           40.74047664            0.00000000       12149.62821639         -526.50855458        11623.11966182 
  1.0840e-12           40.74285480      3681042.56942763       12150.33742984         -527.92915250        11622.40827734 
  1.0860e-12           40.74526362      3611984.77190173       12151.05578806         -529.36804890        11621.68773915 
  1.0880e-12           40.74765566            0.00000000       12151.76914309         -530.79686010        11620.97228299 
  1.0900e-12           40.74996844            0.00000000       12152.45886104         -532.17823386        11620.28062718 
  1.0920e-12           40.75215186      3659542.71537245       12153.11000142         -533.48221449        11619.62778693 
  1.0940e-12           40.75416238            0.00000000       12153.70957850         -534.68277072        11619.02680778 
  1.0960e-12           40.75596253      4162724.52639592       12154.24642067         -535.75751706        11618.48890362 
  1.0980e-12           40.75739501            0.00000000       12154.67361500         -536.61262405        11618.06099095 
  1.1000e-12           40.75858653            0.00000000       12155.02894749         -537.32364042        11617.70530708 
  1.1020e-12           40.75952732            0.00000000       12155.30951127         -537.88475661        11617.42475466 
  1.1040e-12           40.76021706            0.00000000       12155.51520555         -538.29578520        11617.21942035 
  1.1060e-12           40.76066451      3601704.65458432       12155.64864404         -538.56197412        11617.08666992 
  1.1080e-12           40.76088763      3607888.87791768       12155.71518194         -538.69405781        11617.02112414 
  1.1100e-12           40.76091149            0.00000000       12155.72229704         -538.70701712        11617.01527993 
  1.1120e-12           40.76076851            0.00000000       12155.67965749         -538.62021396        11617.05944352 
  1.1140e-12           40.76049802            0.00000000       12155.59899305         -538.45713406        11617.14185899 
  1.1160e-12           40.76014524            0.00000000       12155.49378633         -538.24477076        11617.24901558 
  1.1180e-12           40.75976043      3578230.36062003       12155.37902813         -538.01313813        11617.36589000 
  1.1200e-12           40.75939819            0.00000000       12155.27100318         -537.79484533        11617.47615785 
  1.1220e-12           40.75911567      3549737.42470904       12155.18674770         -537.62401431        11617.56273339 
  1.1240e-12           40.75897250            0.00000000       12155.14405402         -537.53629070        11617.60776333 
  1.1260e-12           40.75902689            0.00000000       12155.16027427         -537.56645097        11617.59382330 
  1.1280e-12           40.75933575      3545666.91379233       12155.25238176         -537.74852294        11617.50385882 
  1.1300e-12           40.75995218            0.00000000       12155.43621315         -538.11426504        11617.32194812 
  1.1320e-12           40.76092242            0.00000000       12155.72555695         -538.69133639        11617.03422056 
  1.1340e-12           40.76228459            0.00000000       12156.13178500         -539.50255182        11616.62923319 
  1.1360e-12           40.76406665            0.00000000       12156.66323017         -540.56462922        11616.09860095 
  1.1380e-12           40.76628502            0.00000000       12157.32479410         -541.88739905        11615.43739505 
  1.1400e-12           40.76894397            0.00000000       12158.11774404         -543.47339470        11614.64434934 
  1.1420e-12           40.77203557            0.00000000       12159.03972204         -545.31787122        11613.72185083 
  1.1440e-12           40.77554050      3494166.29686652       12160.08496373         -547.40924678        11612.67571695 
  1.1460e-12           40.77942991            0.00000000       12161.24486363         -549.73024005        11611.51462358 
  1.1480e-12           40.78366555      3492958.75120415       12162.50801576         -552.25795955        11610.25005621 
  1.1500e-12           40.78820353            0.00000000       12163.86133141         -554.96614760        11608.89518382 
  1.1520e-12           40.79299565            0.00000000       12165.29043950         -557.82598814        11607.46445135 
  1.1540e-12           40.79799157            0.00000000       12166.78032264         -560.80738408        11605.97293856 
  1.1560e-12           40.80314037      3465133.35708375       12168.31579909         -563.87992378        11604.43587531 
  1.1580e-12           40.80839225            0.00000000       12169.88201366         -567.01386334        11602.86815032 
  1.1600e-12           40.81369855      3453377.08185951       12171.46446082         -570.18017130        11601.28428952 
  1.1620e-12           40.81901366      3447854.80864700       12173.04953172         -573.35161993        11599.69791179 
  1.1640e-12           40.82429445            0.00000000       12174.62437117         -576.50249601        11598.12187516 
  1.1660e-12           40.82950071      3424356.70081147       12176.17698198         -579.60880621        11596.56817577 
  1.1680e-12           40.83459645            0.00000000       12177.69663427         -582.64909294        11595.04754133 
  1.1700e-12           40.83954712            0.00000000       12179.17302178         -585.60274485        11593.57027694 
  1.1720e-12           40.84432227      3417304.44089425       12180.59706932         -588.45161047        11592.14545885 
  1.1740e-12           40.84889493      6751665.85603530       12181.96072679         -591.17958578        11590.78114102 
  1.1760e-12           40.85324601            0.00000000       12183.25830720         -593.77529035        11589.48301685 
  1.1780e-12           40.85735091            0.00000000       12184.48247140         -596.22403757        11588.25843383 
  1.1800e-12           40.86119356      3477879.36343329       12185.62842603         -598.51623183        11587.11219419 
  1.1820e-12           40.86468299      3257273.61983397       12186.66904383         -600.59758796        11586.07145587 
  1.1840e-12           40.86789514            0.00000000       12187.62697199         -602.51341275        11585.11355923 
  1.1860e-12           40.87081957            0.00000000       12188.49909382         -604.25747250        11584.24162132 
  1.1880e-12           40.87345821            0.00000000       12189.28598966         -605.83093219        11583.45505747 
  1.1900e-12           40.87581739            0.00000000       12189.98954623         -607.23757641        11582.75196982 
  1.1920e-12           40.87790753      4953749.67252625       12190.61286645         -608.48362952        11582.12923694 
  1.1940e-12           40.87975825            0.00000000       12191.16478756         -609.58679634        11581.57799122 
  1.1960e-12           40.88137061      3340816.65540427       12191.64562610         -610.54773667        11581.09788943 
  1.1980e-12           40.88276406      3343383.55839471       12192.06118027         -611.37808365        11580.68309662 
  1.2000e-12           40.88395849            0.00000000       12192.41738492         -612.08974567        11580.32763925 
  1.2020e-12           40.88497410            0.00000000       12192.72025849         -612.69479697        11580.02546152 
  1.2040e-12           40.88583054            0.00000000       12192.97566662         -613.20500156        11579.77066506 
  1.2060e-12           40.88654593            0.00000000       12193.18901133         -613.63118843        11579.55782291 
  1.2080e-12           40.88713619      6625298.80946121       12193.36503791         -613.98286289        11579.38217502 
  1.2100e-12           40.88761536            0.00000000       12193.50793592         -614.26840755        11579.23952836 
  1.2120e-12           40.88799326            0.00000000       12193.62063439         -614.49367285        11579.12696154 
  1.2140e-12           40.88827784            0.00000000       12193.70550249         -614.66338004        11579.04212244 
  1.2160e-12           40.88847479      3295012.80489648       12193.76423468         -614.78089434        11578.98334034 
  1.2180e-12           40.88858811            0.00000000       12193.79803052         -614.84858773        11578.94944279 
  1.2200e-12           40.88862051            0.00000000       12193.80769331         -614.86803966        11578.93965365 
  1.2220e-12           40.88857422            0.00000000       12193.79388863         -614.84055667        11578.95333196 
  1.2240e-12           40.88845147      3239674.33578348       12193.75728038         -614.76744604        11578.98983434 
  1.2260e-12           40.88825725            0.00000000       12193.69936020         -614.65167494        11579.04768525 
  1.2280e-12           40.88799270            0.00000000       12193.62046760         -614.49390989        11579.12655770 
  1.2300e-12           40.88766235            0.00000000       12193.52195137         -614.29683817        11579.22511320 
  1.2320e-12           40.88727200      9717610.15853996       12193.40553908         -614.06390534        11579.34163375 
  1.2340e-12           40.88683095      5759597.19256439       12193.27400920         -613.80065855        11579.47335065 
  1.2360e-12           40.88637716      3229894.38054214       12193.13867926         -613.52973685        11579.60894240 
  1.2380e-12           40.88589226            0.00000000       12192.99407362         -613.24016553        11579.75390810 
  1.2400e-12           40.88538824      3311755.83701463       12192.84376509         -612.93908569        11579.90467940 
  1.2420e-12           40.88488955      3224236.97870298       12192.69504460         -612.64108205        11580.05396254 
  1.2440e-12           40.88440319            0.00000000       12192.55000442         -612.35035077        11580.19965364 
  1.2460e-12           40.88394726      3009507.31419334       12192.41403447         -612.07769528        11580.33633920 
  1.2480e-12           40.88354830            0.00000000       12192.29505834         -611.83899773        11580.45606062 
  1.2500e-12           40.88321810      3117878.78194298       12192.19658440         -611.64131919        11580.55526521 
  1.2520e-12           40.88297603      6397182.18142598       12192.12439631         -611.49627621        11580.62812011 
  1.2540e-12           40.88283773            0.00000000       12192.08315127         -611.41323124        11580.66992003 
  1.2560e-12           40.88281572      3185521.76841205       12192.07658668         -611.39969939        11580.67688730 
  1.2580e-12           40.88291904            0.00000000       12192.10740012         -611.46110190        11580.64629822 
  1.2600e-12           40.88315112      4854869.89040105       12192.17661142         -611.59948586        11580.57712556 
  1.2620e-12           40.88352505      4903137.98846769       12192.28812273         -611.82264199        11580.46548074 
  1.2640e-12           40.88402473      3154426.36569790       12192.43713851         -612.12094633        11580.31619218 
  1.2660e-12           40.88463752      3165266.85556693       12192.61988481         -612.48680232        11580.13308248 
  1.2680e-12           40.88535010      3117764.92359736       12192.83239064         -612.91220993        11579.92018071 
  1.2700e-12           40.88614983            0.00000000       12193.07088604         -613.38956927        11579.68131677 
  1.2720e-12           40.88702214            0.00000000       12193.33102526         -613.91013451        11579.42089075 
  1.2740e-12           40.88795519      3121804.62321965       12193.60928017         -614.46680695        11579.14247322 
  1.2760e-12           40.88894024            0.00000000       12193.90304305         -615.05434490        11578.84869815 
  1.2780e-12           40.88997116            0.00000000       12194.21048389         -615.66908006        11578.54140383 
  1.2800e-12           40.89104587      3071563.15511983       12194.53098320         -616.30978266        11578.22120053 
  1.2820e-12           40.89217024            0.00000000       12194.86629390         -616.97998265        11577.88631124 
  1.2840e-12           40.89334440            0.00000000       12195.21645013         -617.67978395        11577.53666619 
  1.2860e-12           40.89457498            0.00000000       12195.58343377         -618.41319270        11577.17024107 
  1.2880e-12           40.89586987            0.00000000       12195.96959826         -619.18496095        11576.78463731 
  1.2900e-12           40.89723719      3081973.48272655       12196.37736037         -619.99996624        11576.37739413 
  1.2920e-12           40.89868502            0.00000000       12196.80913045         -620.86306947        11575.94606098 
  1.2940e-12           40.90021813      2971351.40022956       12197.26633693         -621.77716183        11575.48917511 
  1.2960e-12           40.90182651      3087742.57537641       12197.74598681         -622.73629087        11575.00969594 
  1.2980e-12           40.90352571      2958215.14321543       12198.25272128         -623.74975334        11574.50296794 
  1.3000e-12           40.90531531            0.00000000       12198.78641846         -624.81731862        11573.96909983 
  1.3020e-12           40.90718392            0.00000000       12199.34367551         -625.93218786        11573.41148765 
  1.3040e-12           40.90911977            0.00000000       12199.92098293         -627.08734323        11572.83363970 
  1.3060e-12           40.91110705            0.00000000       12200.51363071         -628.27336109        11572.24026962 
  1.3080e-12           40.91312608            0.00000000       12201.11574531         -629.47848679        11571.63725851 
  1.3100e-12           40.91515348      5416108.86696823       12201.72035594         -630.68876808        11571.03158786 
  1.3120e-12           40.91718827            0.00000000       12202.32717087         -631.90360847        11570.42356241 
  1.3140e-12           40.91917486            0.00000000       12202.91961445         -633.08984110        11569.82977335 
  1.3160e-12           40.92108092      2898131.58468171       12203.48803838         -634.22815236        11569.25988602 
  1.3180e-12           40.92287609            0.00000000       12204.02339579         -635.30043016        11568.72296563 
  1.3200e-12           40.92452025            0.00000000       12204.51371648         -636.28271345        11568.23100303 
  1.3220e-12           40.92597626            0.00000000       12204.94792701         -637.15283307        11567.79509394 
  1.3240e-12           40.92720655            0.00000000       12205.31482385         -637.88835738        11567.42646647 
  1.3260e-12           40.92817378      2834029.17810329       12205.60327343         -638.46699205        11567.13628138 
  1.3280e-12           40.92884223      3010589.18398599       12205.80261805         -638.86739169        11566.93522636 
  1.3300e-12           40.92917687      3578018.67194784       12205.90241489         -639.06863808        11566.83377681 
  1.3320e-12           40.92914725            0.00000000       12205.89357959         -639.05252768        11566.84105191 
  1.3340e-12           40.92872333            0.00000000       12205.76715743         -638.80111494        11566.96604249 
  1.3360e-12           40.92788125      3300790.88269258       12205.51603505         -638.30013690        11567.21589815 
  1.3380e-12           40.92660441      2829200.79880797       12205.13525579         -637.53964510        11567.59561069 
  1.3400e-12           40.92487988            0.00000000       12204.62096625         -636.51189986        11568.10906638 
  1.3420e-12           40.92270195            0.00000000       12203.97146349         -635.21346481        11568.75799867 
  1.3440e-12           40.92007383      2978695.60583357       12203.18770563         -633.64622696        11569.54147867 
  1.3460e-12           40.91700788            0.00000000       12202.27337647         -631.81752316        11570.45585331 
  1.3480e-12           40.91352512      5930366.69816734       12201.23474666         -629.73985813        11571.49488853 
  1.3500e-12           40.90965785            0.00000000       12200.08144885         -627.43244963        11572.64899922 
  1.3520e-12           40.90544870            0.00000000       12198.82619633         -624.92066187        11573.90553446 
  1.3540e-12           40.90095359      5794103.35048503       12197.48566437         -622.23776840        11575.24789597 
  1.3560e-12           40.89624465            0.00000000       12196.08136284         -619.42670488        11576.65465796 
  1.3580e-12           40.89140628            0.00000000       12194.63846666         -616.53774798        11578.10071867 
  1.3600e-12           40.88654204            0.00000000       12193.18785111         -613.63261466        11579.55523645 
  1.3620e-12           40.88177286            0.00000000       12191.76558475         -610.78348415        11580.98210060 
  1.3640e-12           40.87723532      4122700.95337988       12190.41240110         -608.07197670        11582.34042439 
  1.3660e-12           40.87308360            0.00000000       12189.17427274         -605.59032353        11583.58394921 
  1.3680e-12           40.86946234            0.00000000       12188.09434084         -603.42522093        11584.66911991 
  1.3700e-12           40.86651562      2921687.79578674       12187.21556939         -601.66309741        11585.55247199 
  1.3720e-12           40.86436797            0.00000000       12186.57509893         -600.37874523        11586.19635370 
  1.3740e-12           40.86311126            0.00000000       12186.20032119         -599.62737424        11586.57294695 
  1.3760e-12           40.86279473      2699123.41309821       12186.10592652         -599.43861677        11586.66730975 
  1.3780e-12           40.86343752      2897453.11367906       12186.29762054         -599.82390435        11586.47371618 
  1.3800e-12           40.86497261            0.00000000       12186.75541513         -600.74304543        11586.01236970 
  1.3820e-12           40.86730669            0.00000000       12187.45148321         -602.13998249        11585.31150073 
  1.3840e-12           40.87031257      2865786.12821961       12188.34789879         -603.93835685        11584.40954194 
  1.3860e-12           40.87384356            0.00000000       12189.40091021         -606.05014967        11583.35076054 
  1.3880e-12           40.87774021            0.00000000       12190.56296903         -608.37981883        11582.18315020 
  1.3900e-12           40.88184787            0.00000000       12191.78795665         -610.83480007        11580.95315659 
  1.3920e-12           40.88602336      2868418.60514427       12193.03316922         -613.32949057        11579.70367865 
  1.3940e-12           40.89014081            0.00000000       12194.26107615         -615.78875266        11578.47232349 
  1.3960e-12           40.89409330            0.00000000       12195.43978998         -618.14882466        11577.29096533 
  1.3980e-12           40.89779429      8444544.94156708       12196.54349956         -620.35815422        11576.18534534 
  1.4000e-12           40.90112943      2860406.50761406       12197.53810347         -622.34866743        11575.18943604 
  1.4020e-12           40.90408623            0.00000000       12198.41988192         -624.11299806        11574.30688386 
  1.4040e-12           40.90662820            0.00000000       12199.17794661         -625.62946548        11573.54848112 
  1.4060e-12           40.90873156            0.00000000       12199.80521161         -626.88397952        11572.92123209 
  1.4080e-12           40.91038340      2823943.70729019       12200.29782435         -627.86890017        11572.42892418 
  1.4100e-12           40.91158031            0.00000000       12200.65476603         -628.58223904        11572.07252700 
  1.4120e-12           40.91232664            0.00000000       12200.87733735         -629.02663265        11571.85070470 
  1.4140e-12           40.91263419      5641584.46665622       12200.96905443         -629.20913705        11571.75991739 
  1.4160e-12           40.91252383            0.00000000       12200.93614129         -629.14221564        11571.79392565 
  1.4180e-12           40.91201761      2545514.47161254       12200.78517829         -628.83903964        11571.94613864 
  1.4200e-12           40.91116449            0.00000000       12200.53075888         -628.32881290        11572.20194598 
  1.4220e-12           40.90998091            0.00000000       12200.17779267         -627.62136037        11572.55643230 
